date,signal,tenki,rc_tenki,hybrid,rc_hybrid,clock,rc_clock,weekshape,rc_weekshape,tenki_v2,bt_tenki_v2,tenki_v3,bt_tenki_v3,tenki_v4,bt_tenki_v4,oracle,bt_tenki,bt_hybrid
2026-08-14,強,32.294249999999984,1.0,32.294249999999984,1.0,70.76624999999999,1.0,50.24425,1.0,5.125000000000007,1.0,12.910000000000018,1.0,12.910000000000018,1.0,79.39125000000001,,
2026-08-15,強,61.13025000000001,,61.13025000000001,,72.089,1.0,66.98025000000001,1.0,68.089,1.0,68.089,1.0,68.73025000000001,1.0,76.83525,,
2026-08-16,強,64.36124999999998,,64.36124999999998,,98.26874999999998,1.0,98.01874999999998,1.0,91.71875,1.0,98.51874999999998,1.0,99.61124999999998,1.0,100.46124999999999,,
2026-08-17,強,140.5875,,140.5875,,83.11499999999998,1.0,106.91499999999999,1.0,124.86500000000001,,114.14000000000001,,148.9475,1.0,154.65999999999997,,
2026-08-18,平常,142.94624999999996,,145.77125,,137.94625,1.0,145.77125,1.0,138.49624999999997,,153.34625,,126.78949999999999,1.0,153.34625,,
2026-08-19,平常,117.79299999999999,,109.49300000000001,,117.79299999999999,1.0,109.49300000000001,1.0,104.76800000000001,,117.79299999999999,,112.32149999999999,,125.69299999999997,,
2026-08-20,平常,101.25150000000002,,96.17399999999998,,93.44899999999998,1.0,96.17399999999998,1.0,98.87399999999997,,100.07399999999998,,100.07399999999998,,103.62399999999997,,
2026-08-21,平常,93.86250000000003,,93.06249999999999,,84.31300000000002,1.0,93.06249999999999,1.0,91.16300000000001,,91.43799999999999,,91.43799999999999,,97.25999999999998,,
2026-08-22,平常,118.65775,,118.65775,,115.16950000000001,1.0,118.65775,1.0,118.65775,1.0,115.35775000000001,1.0,115.35775000000001,1.0,126.5945,,
2026-08-23,平常,164.47475000000003,,166.17475000000002,,164.17475000000002,1.0,166.17475000000002,1.0,164.33225000000002,1.0,164.33225000000002,1.0,164.33225000000002,1.0,166.59975000000003,1.0,1.0
2026-08-24,平常,117.4025,,123.13649999999998,,105.00250000000003,1.0,123.13649999999998,1.0,117.47749999999999,,120.0025,,120.0025,,126.73625000000003,,
2026-08-25,平常,190.363,,201.99175000000002,,206.04174999999998,1.0,201.99175000000002,1.0,189.71300000000002,,228.07875,1.0,228.07875,1.0,234.00374999999997,,
2026-08-26,平常,274.36524999999995,,261.68425,,243.75925,1.0,261.68425,1.0,270.4915,1.0,262.71524999999997,1.0,262.71524999999997,1.0,278.16525,1.0,1.0
2026-08-27,強,101.11500000000001,,101.11500000000001,,9.926249999999968,1.0,48.82625,1.0,99.975,,102.8535,,102.8535,,120.42275,,
2026-08-28,平常,88.78050000000002,,83.8055,,72.73499999999999,1.0,83.8055,1.0,88.46700000000001,1.0,88.07275000000001,1.0,88.07275000000001,1.0,94.60424999999998,1.0,1.0
2026-08-29,強,68.79799999999997,,68.79799999999997,,57.288999999999966,,57.863999999999955,,67.91399999999996,,57.288999999999966,,57.288999999999966,,103.03899999999999,,
2026-08-30,平常,148.97625,,150.67625,,147.45125000000002,,150.67625,,147.45125000000002,,148.97625,,148.97625,,152.91475000000003,,
2026-08-31,平常,162.8515,,170.62949999999998,,103.15149999999998,,170.62949999999998,,121.18249999999999,,149.15750000000003,,149.15750000000003,,214.53250000000003,,
2026-09-01,平常,159.98275,,157.57274999999998,,141.48724999999996,,157.57274999999998,,157.86575000000002,,178.84000000000003,,178.84000000000003,,178.84000000000003,,
2026-09-02,平常,213.87525,,208.369,,166.19275,,208.369,,204.97125,,224.51275,,224.51275,,247.41275,,
2026-09-03,強,88.31650000000002,,88.31650000000002,,-64.62075000000002,,39.679250000000025,,74.32300000000001,,66.17675000000003,,66.17675000000003,,104.0795,,
2026-09-04,強,118.81450000000001,,118.81450000000001,,-20.726999999999975,,49.663750000000014,,104.95875000000001,,68.40875,,68.40875,,129.732,,
