date,item,origin,price,qty
2024-01-05,レタス,兵庫,348,77703
2024-01-05,レタス,千葉,328,42184
2024-01-05,レタス,総計,270,630476
2024-01-05,レタス,長崎,139,126245
2024-01-05,レタス,静岡,287,196166
2024-01-05,レタス,香川,284,72858
2024-01-06,レタス,兵庫,345,72230
2024-01-06,レタス,千葉,331,18177
2024-01-06,レタス,総計,292,315697
2024-01-06,レタス,長崎,160,53045
2024-01-06,レタス,静岡,290,85136
2024-01-06,レタス,香川,293,28724
2024-01-08,レタス,兵庫,336,20850
2024-01-08,レタス,熊本,168,21100
2024-01-08,レタス,総計,266,311271
2024-01-08,レタス,長崎,160,44280
2024-01-08,レタス,静岡,270,108124
2024-01-08,レタス,香川,275,28834
2024-01-09,レタス,兵庫,320,41890
2024-01-09,レタス,千葉,305,18395
2024-01-09,レタス,総計,272,325296
2024-01-09,レタス,長崎,150,32935
2024-01-09,レタス,静岡,268,128552
2024-01-09,レタス,香川,260,46178
2024-01-11,レタス,千葉,303,17436
2024-01-11,レタス,福岡,331,17145
2024-01-11,レタス,総計,242,337991
2024-01-11,レタス,長崎,157,59135
2024-01-11,レタス,静岡,251,143699
2024-01-11,レタス,香川,242,32434
2024-01-12,レタス,兵庫,293,21210
2024-01-12,レタス,総計,248,286615
2024-01-12,レタス,茨城,230,16750
2024-01-12,レタス,長崎,149,26140
2024-01-12,レタス,静岡,251,115472
2024-01-12,レタス,香川,250,39632
2024-01-13,レタス,兵庫,279,38025
2024-01-13,レタス,総計,241,318651
2024-01-13,レタス,茨城,207,16711
2024-01-13,レタス,長崎,152,39560
2024-01-13,レタス,静岡,238,124579
2024-01-13,レタス,香川,237,50360
2024-01-15,レタス,兵庫,271,23650
2024-01-15,レタス,福岡,301,19816
2024-01-15,レタス,総計,221,326580
2024-01-15,レタス,長崎,150,33410
2024-01-15,レタス,静岡,226,140924
2024-01-15,レタス,香川,187,50323
2024-01-16,レタス,兵庫,282,36930
2024-01-16,レタス,福岡,307,18850
2024-01-16,レタス,総計,231,311136
2024-01-16,レタス,長崎,150,21220
2024-01-16,レタス,静岡,224,118568
2024-01-16,レタス,香川,198,60634
2024-01-18,レタス,熊本,180,20296
2024-01-18,レタス,福岡,285,20591
2024-01-18,レタス,総計,221,361287
2024-01-18,レタス,長崎,155,39615
2024-01-18,レタス,静岡,224,183066
2024-01-18,レタス,香川,201,39728
2024-01-19,レタス,兵庫,269,21802
2024-01-19,レタス,福岡,306,18509
2024-01-19,レタス,総計,224,250558
2024-01-19,レタス,長崎,148,26480
2024-01-19,レタス,静岡,220,78912
2024-01-19,レタス,香川,190,38600
2024-01-20,レタス,兵庫,274,17908
2024-01-20,レタス,千葉,262,18739
2024-01-20,レタス,総計,224,337443
2024-01-20,レタス,長崎,144,36550
2024-01-20,レタス,静岡,224,163676
2024-01-20,レタス,香川,201,47622
2024-01-22,レタス,福岡,318,16706
2024-01-22,レタス,総計,221,218318
2024-01-22,レタス,茨城,259,17090
2024-01-22,レタス,長崎,153,32445
2024-01-22,レタス,静岡,218,65060
2024-01-22,レタス,香川,194,37355
2024-01-23,レタス,兵庫,264,15129
2024-01-23,レタス,福岡,340,17412
2024-01-23,レタス,総計,236,267479
2024-01-23,レタス,長崎,136,25555
2024-01-23,レタス,静岡,239,95073
2024-01-23,レタス,香川,213,68345
2024-01-25,レタス,兵庫,245,16200
2024-01-25,レタス,総計,218,347942
2024-01-25,レタス,茨城,250,18939
2024-01-25,レタス,長崎,156,46430
2024-01-25,レタス,静岡,217,169956
2024-01-25,レタス,香川,193,31182
2024-01-26,レタス,兵庫,238,16283
2024-01-26,レタス,総計,214,312108
2024-01-26,レタス,茨城,275,18276
2024-01-26,レタス,長崎,152,20590
2024-01-26,レタス,静岡,198,152064
2024-01-26,レタス,香川,193,42750
2024-01-27,レタス,兵庫,238,26410
2024-01-27,レタス,福岡,349,15212
2024-01-27,レタス,総計,214,317648
2024-01-27,レタス,長崎,143,34492
2024-01-27,レタス,静岡,199,132852
2024-01-27,レタス,香川,199,46671
2024-01-29,レタス,福岡,327,21371
2024-01-29,レタス,総計,212,283927
2024-01-29,レタス,茨城,238,19021
2024-01-29,レタス,長崎,157,34958
2024-01-29,レタス,静岡,202,114211
2024-01-29,レタス,香川,189,40356
2024-01-30,レタス,兵庫,256,25830
2024-01-30,レタス,総計,222,313189
2024-01-30,レタス,茨城,241,22145
2024-01-30,レタス,長崎,146,19925
2024-01-30,レタス,静岡,202,128256
2024-01-30,レタス,香川,204,51422
2024-02-01,レタス,千葉,255,17946
2024-02-01,レタス,総計,210,344869
2024-02-01,レタス,茨城,206,25110
2024-02-01,レタス,長崎,160,49417
2024-02-01,レタス,静岡,203,145631
2024-02-01,レタス,香川,201,44823
2024-02-02,レタス,千葉,259,15350
2024-02-02,レタス,総計,217,307125
2024-02-02,レタス,茨城,246,27213
2024-02-02,レタス,長崎,144,19565
2024-02-02,レタス,静岡,210,129098
2024-02-02,レタス,香川,196,56452
2024-02-03,レタス,千葉,278,18185
2024-02-03,レタス,総計,220,272450
2024-02-03,レタス,茨城,243,30720
2024-02-03,レタス,長崎,146,32025
2024-02-03,レタス,静岡,205,86045
2024-02-03,レタス,香川,193,47759
2024-02-05,レタス,兵庫,243,19400
2024-02-05,レタス,総計,225,265399
2024-02-05,レタス,茨城,234,32558
2024-02-05,レタス,長崎,160,31245
2024-02-05,レタス,静岡,211,80248
2024-02-05,レタス,香川,196,41659
2024-02-06,レタス,千葉,290,9512
2024-02-06,レタス,福岡,348,14862
2024-02-06,レタス,総計,235,155187
2024-02-06,レタス,茨城,258,37537
2024-02-06,レタス,長崎,151,23295
2024-02-06,レタス,香川,204,43295
2024-02-08,レタス,兵庫,251,23065
2024-02-08,レタス,福岡,352,22568
2024-02-08,レタス,総計,232,310219
2024-02-08,レタス,長崎,151,48113
2024-02-08,レタス,静岡,215,121758
2024-02-08,レタス,香川,201,32523
2024-02-09,レタス,福岡,332,17962
2024-02-09,レタス,総計,232,221197
2024-02-09,レタス,茨城,248,26541
2024-02-09,レタス,長崎,157,15882
2024-02-09,レタス,静岡,217,82313
2024-02-09,レタス,香川,201,24460
2024-02-10,レタス,福岡,335,20639
2024-02-10,レタス,総計,227,281082
2024-02-10,レタス,茨城,236,44263
2024-02-10,レタス,長崎,146,33490
2024-02-10,レタス,静岡,219,91988
2024-02-10,レタス,香川,209,42506
2024-02-13,レタス,福岡,317,28463
2024-02-13,レタス,総計,219,441358
2024-02-13,レタス,茨城,226,72276
2024-02-13,レタス,長崎,144,51785
2024-02-13,レタス,静岡,222,136350
2024-02-13,レタス,香川,207,63730
2024-02-15,レタス,福岡,320,18889
2024-02-15,レタス,総計,214,365505
2024-02-15,レタス,茨城,211,64795
2024-02-15,レタス,長崎,156,44860
2024-02-15,レタス,静岡,213,121511
2024-02-15,レタス,香川,201,41976
2024-02-16,レタス,福岡,344,17628
2024-02-16,レタス,総計,218,246804
2024-02-16,レタス,茨城,211,65348
2024-02-16,レタス,長崎,149,17400
2024-02-16,レタス,静岡,211,58362
2024-02-16,レタス,香川,195,30092
2024-02-17,レタス,福岡,321,18015
2024-02-17,レタス,総計,214,283294
2024-02-17,レタス,茨城,208,64032
2024-02-17,レタス,長崎,141,39030
2024-02-17,レタス,静岡,205,75679
2024-02-17,レタス,香川,194,31574
2024-02-19,レタス,福岡,318,17291
2024-02-19,レタス,総計,209,310218
2024-02-19,レタス,茨城,203,84841
2024-02-19,レタス,長崎,154,29157
2024-02-19,レタス,静岡,202,91216
2024-02-19,レタス,香川,192,35985
2024-02-20,レタス,福岡,326,17239
2024-02-20,レタス,総計,210,312917
2024-02-20,レタス,茨城,194,104058
2024-02-20,レタス,長崎,139,21425
2024-02-20,レタス,静岡,202,73353
2024-02-20,レタス,香川,180,36823
2024-02-22,レタス,兵庫,210,16000
2024-02-22,レタス,総計,188,377571
2024-02-22,レタス,茨城,178,125197
2024-02-22,レタス,長崎,147,40870
2024-02-22,レタス,静岡,179,90023
2024-02-22,レタス,香川,175,34154
2024-02-23,レタス,福岡,323,12620
2024-02-23,レタス,総計,193,226687
2024-02-23,レタス,茨城,195,70714
2024-02-23,レタス,長崎,163,11225
2024-02-23,レタス,静岡,169,71330
2024-02-23,レタス,香川,165,18854
2024-02-24,レタス,福岡,323,15393
2024-02-24,レタス,総計,186,242848
2024-02-24,レタス,茨城,182,51694
2024-02-24,レタス,長崎,138,30795
2024-02-24,レタス,静岡,165,61457
2024-02-24,レタス,香川,162,48492
2024-02-26,レタス,福岡,290,19786
2024-02-26,レタス,総計,175,322086
