date,item,origin,price,qty
2024-01-05,トマト,愛知,292,110903
2024-01-05,トマト,栃木,226,137228
2024-01-05,トマト,熊本,199,233249
2024-01-05,トマト,総計,262,602609
2024-01-05,トマト,静岡,548,29254
2024-01-06,トマト,愛知,297,63422
2024-01-06,トマト,栃木,222,76348
2024-01-06,トマト,熊本,211,159768
2024-01-06,トマト,総計,260,361870
2024-01-08,トマト,愛知,302,81900
2024-01-08,トマト,栃木,247,49442
2024-01-08,トマト,熊本,209,151131
2024-01-08,トマト,総計,275,350281
2024-01-09,トマト,愛知,328,77553
2024-01-09,トマト,栃木,231,65366
2024-01-09,トマト,熊本,206,146590
2024-01-09,トマト,総計,267,331433
2024-01-11,トマト,愛知,299,37629
2024-01-11,トマト,栃木,240,67852
2024-01-11,トマト,熊本,206,217173
2024-01-11,トマト,総計,258,392150
2024-01-12,トマト,愛知,325,42526
2024-01-12,トマト,栃木,244,32473
2024-01-12,トマト,熊本,241,66478
2024-01-12,トマト,総計,332,186907
2024-01-12,トマト,静岡,815,18476
2024-01-13,トマト,愛知,356,62911
2024-01-13,トマト,栃木,255,57359
2024-01-13,トマト,熊本,239,77389
2024-01-13,トマト,総計,307,249808
2024-01-13,トマト,静岡,485,15079
2024-01-15,トマト,愛知,346,27278
2024-01-15,トマト,栃木,261,49216
2024-01-15,トマト,熊本,262,90223
2024-01-15,トマト,総計,309,211275
2024-01-15,トマト,静岡,574,10261
2024-01-16,トマト,千葉,288,7354
2024-01-16,トマト,愛知,348,23311
2024-01-16,トマト,栃木,243,54552
2024-01-16,トマト,熊本,269,54538
2024-01-16,トマト,総計,306,181756
2024-01-16,トマト,静岡,577,10480
2024-01-18,トマト,愛知,417,53021
2024-01-18,トマト,栃木,269,68053
2024-01-18,トマト,熊本,303,85239
2024-01-18,トマト,総計,349,264009
2024-01-18,トマト,静岡,661,10975
2024-01-19,トマト,千葉,300,8706
2024-01-19,トマト,愛知,381,31906
2024-01-19,トマト,栃木,281,30676
2024-01-19,トマト,熊本,325,51269
2024-01-19,トマト,総計,360,150082
2024-01-20,トマト,愛知,371,26012
2024-01-20,トマト,栃木,302,53608
2024-01-20,トマト,熊本,301,50281
2024-01-20,トマト,総計,350,174167
2024-01-20,トマト,静岡,607,11181
2024-01-22,トマト,愛知,441,39479
2024-01-22,トマト,栃木,300,54383
2024-01-22,トマト,熊本,313,89999
2024-01-22,トマト,総計,358,229322
2024-01-23,トマト,愛知,466,37175
2024-01-23,トマト,栃木,307,52740
2024-01-23,トマト,熊本,311,27460
2024-01-23,トマト,総計,378,155310
2024-01-23,トマト,静岡,586,8841
2024-01-25,トマト,愛知,414,40296
2024-01-25,トマト,栃木,315,57113
2024-01-25,トマト,熊本,311,88143
2024-01-25,トマト,福岡,349,8889
2024-01-25,トマト,総計,361,238180
2024-01-26,トマト,愛知,471,27700
2024-01-26,トマト,栃木,316,29545
2024-01-26,トマト,熊本,351,30269
2024-01-26,トマト,総計,411,126733
2024-01-26,トマト,長崎,287,7281
2024-01-26,トマト,静岡,743,8788
2024-01-27,トマト,愛知,452,45087
2024-01-27,トマト,栃木,328,47946
2024-01-27,トマト,熊本,321,53826
2024-01-27,トマト,総計,393,194418
2024-01-27,トマト,静岡,670,9677
2024-01-29,トマト,愛知,423,31156
2024-01-29,トマト,栃木,316,47825
2024-01-29,トマト,熊本,315,92630
2024-01-29,トマト,福岡,350,9697
2024-01-29,トマト,総計,359,221971
2024-01-30,トマト,千葉,329,8486
2024-01-30,トマト,愛知,388,30477
2024-01-30,トマト,栃木,310,61854
2024-01-30,トマト,熊本,310,30445
2024-01-30,トマト,総計,366,175591
