date,ndvi,cloud
2024-04-14,0.3704163730144501,0.044281
2024-04-26,0.40125446021556854,21.70206
2024-05-04,0.5267028510570526,0.050235
2024-05-11,0.5453937947750092,9.46089
2024-05-14,0.6419804394245148,0.183891
2024-05-24,0.6725442111492157,27.287552
2024-06-05,0.7120199799537659,22.538179
2024-06-08,0.6986503601074219,34.103832
2024-06-15,0.7111279964447021,14.315613
2024-06-20,0.7449550926685333,19.117083
2024-07-05,0.7772515416145325,0.602711
2024-07-18,0.7541417479515076,30.542982
2024-07-23,0.7783003449440002,22.779484
2024-08-02,0.7503810226917267,9.002829
2024-08-04,0.6996791958808899,31.093222
2024-08-09,0.6473784744739532,23.792592
2024-08-24,0.7391975820064545,36.293811
2024-09-06,0.7056101858615875,14.891942
2024-10-01,0.7755094170570374,4.371993
2024-10-11,0.6616978049278259,29.561839
2024-10-13,0.7297389209270477,17.298733
2024-10-21,0.6802469491958618,0.616411
2025-04-09,0.37338531017303467,32.554442
2025-04-19,0.3064734637737274,1.669659
2025-04-21,0.40622664988040924,0.244978
2025-04-24,0.43996961414813995,23.145425
2025-04-29,0.41820839047431946,29.737204
2025-05-01,0.4272870123386383,0.384477
2025-05-08,0.49904392659664154,1.769356
2025-05-11,0.540153443813324,22.295827
2025-05-19,0.6769266724586487,33.678845
2025-05-28,0.6690458059310913,25.815904
2025-06-05,0.7230591773986816,2.853498
2025-06-17,0.7601621150970459,15.045454
2025-06-18,0.7264988124370575,20.522214
2025-06-28,0.7886433601379395,19.988266
2025-07-03,0.6930932998657227,35.017812
2025-07-07,0.6734240651130676,35.190746
2025-07-10,0.7303885817527771,35.198709
2025-07-13,0.7669548392295837,22.407146
2025-07-20,0.7823338508605957,3.573848
2025-07-25,0.7607172131538391,9.367129
2025-07-30,0.7239260822534561,14.288656
2025-08-19,0.7720767855644226,16.915463
2025-08-22,0.6439485847949982,25.506222
2025-08-24,0.6569531559944153,32.372132
2025-09-01,0.7764484584331512,7.631624
2025-09-16,0.7603733837604523,13.173954
2025-09-26,0.7293005585670471,37.351036
2025-10-08,0.7590715885162354,23.080806
2025-10-23,0.7003667056560516,4.108555
2026-04-11,0.40119175612926483,4.323026
2026-04-16,0.40983057022094727,12.025867
2026-04-26,0.38879873355229694,13.043839
2026-05-09,0.4878930449485779,39.416042
2026-05-16,0.6252519488334656,3.134316
2026-06-13,0.7446303069591522,18.728402
2026-06-18,0.7515706419944763,26.955029
2026-07-10,0.7646782398223877,9.919452
2026-07-15,0.6962681710720062,20.828305
2026-07-20,0.690302848815918,28.455526
2026-07-22,0.7048561275005341,25.350276
2026-07-23,0.7769493758678436,15.717953
2026-08-04,0.14937958121299744,32.20287
2026-08-07,0.7312002778053284,22.959101
